,class,who,deck,alone,embarked,alive
856,First,woman,nan,False,S,yes
857,First,man,E,True,S,yes
858,Third,woman,nan,False,C,yes
859,Third,man,nan,True,C,no
860,Third,man,nan,False,S,no
861,Second,man,nan,False,S,no
862,First,woman,D,True,S,yes
863,Third,woman,nan,False,S,no
864,Second,man,nan,True,S,no
865,Second,woman,nan,True,S,yes
866,Second,woman,nan,False,C,yes
867,First,man,A,True,S,no
868,Third,man,nan,True,S,no
869,Third,child,nan,False,S,yes
870,Third,man,nan,True,S,no
871,First,woman,D,False,S,yes
872,First,man,B,True,S,no
873,Third,man,nan,True,S,no
874,Second,woman,nan,False,C,yes
875,Third,child,nan,True,C,yes
876,Third,man,nan,True,S,no
877,Third,man,nan,True,S,no
878,Third,man,nan,True,S,no
879,First,woman,C,False,C,yes
880,Second,woman,nan,False,S,yes
881,Third,man,nan,True,S,no
882,Third,woman,nan,True,S,no
883,Second,man,nan,True,S,no
884,Third,man,nan,True,S,no
885,Third,woman,nan,False,Q,no
886,Second,man,nan,True,S,no
887,First,woman,B,True,S,yes
888,Third,woman,nan,False,S,no
889,First,man,C,True,C,yes
890,Third,man,nan,True,Q,no
